wl,n,k
0.802,2.801174,1.524682
0.803,2.801503,1.525526
0.804,2.801832,1.526371
0.805,2.80216,1.527219
0.806,2.802488,1.528067
0.807,2.802817,1.528918
0.808,2.803144,1.52977
0.809,2.803472,1.530624
0.81,2.8038,1.531479
0.811,2.804128,1.532336
0.812,2.804455,1.533195
0.813,2.804782,1.534056
0.814,2.805109,1.534918
0.815,2.805436,1.535782
0.816,2.805763,1.536648
0.817,2.80609,1.537515
0.818,2.806417,1.538384
0.819,2.806743,1.539255
0.82,2.80707,1.540127
0.821,2.807396,1.541001
0.822,2.807723,1.541877
0.823,2.808049,1.542754
0.824,2.808375,1.543634
0.825,2.808702,1.544514
0.826,2.809028,1.545397
0.827,2.809354,1.546281
0.828,2.80968,1.547167
0.829,2.810006,1.548055
0.83,2.810332,1.548944
0.831,2.810658,1.549836
0.832,2.810984,1.550728
0.833,2.81131,1.551623
0.834,2.811636,1.552519
0.835,2.811962,1.553417
0.836,2.812288,1.554317
0.837,2.812614,1.555218
0.838,2.81294,1.556121
0.839,2.813266,1.557026
0.84,2.813592,1.557932
0.841,2.813919,1.55884
0.842,2.814245,1.55975
0.843,2.814571,1.560662
0.844,2.814898,1.561575
0.845,2.815224,1.56249
0.846,2.815551,1.563407
0.847,2.815877,1.564325
0.848,2.816204,1.565245
0.849,2.81653,1.566167
0.85,2.816857,1.56709
0.851,2.817184,1.568015
0.852,2.817511,1.568942
0.853,2.817839,1.569871
0.854,2.818166,1.570801
0.855,2.818494,1.571733
0.856,2.818821,1.572666
0.857,2.819149,1.573602
0.858,2.819477,1.574539
0.859,2.819805,1.575477
0.86,2.820133,1.576418
0.861,2.820462,1.57736
0.862,2.82079,1.578303
0.863,2.821119,1.579249
0.864,2.821448,1.580196
0.865,2.821777,1.581145
0.866,2.822107,1.582095
0.867,2.822436,1.583047
0.868,2.822766,1.584001
0.869,2.823096,1.584957
0.87,2.823426,1.585914
0.871,2.823757,1.586872
0.872,2.824087,1.587833
0.873,2.824419,1.588795
0.874,2.82475,1.589759
0.875,2.825081,1.590724
0.876,2.825413,1.591691
0.877,2.825745,1.59266
0.878,2.826077,1.593631
0.879,2.82641,1.594603
0.88,2.826743,1.595577
0.881,2.827076,1.596552
0.882,2.827409,1.597529
0.883,2.827743,1.598508
0.884,2.828077,1.599488
0.885,2.828412,1.60047
0.886,2.828746,1.601454
0.887,2.829082,1.602439
0.888,2.829417,1.603426
0.889,2.829753,1.604414
0.89,2.830089,1.605404
0.891,2.830425,1.606396
0.892,2.830762,1.60739
0.893,2.831099,1.608385
0.894,2.831437,1.609381
0.895,2.831775,1.61038
0.896,2.832113,1.611379
0.897,2.832452,1.612381
0.898,2.832791,1.613384
0.899,2.833131,1.614389
0.9,2.83347,1.615395
0.901,2.833811,1.616403
0.902,2.834152,1.617412
0.903,2.834493,1.618424
0.904,2.834834,1.619436
0.905,2.835176,1.620451
0.906,2.835519,1.621466
0.907,2.835862,1.622484
0.908,2.836205,1.623503
0.909,2.836549,1.624524
0.91,2.836894,1.625546
0.911,2.837239,1.626569
0.912,2.837584,1.627595
0.913,2.83793,1.628622
0.914,2.838276,1.62965
0.915,2.838623,1.63068
0.916,2.83897,1.631712
0.917,2.839318,1.632745
0.918,2.839666,1.633779
0.919,2.840015,1.634816
0.92,2.840364,1.635853
0.921,2.840714,1.636893
0.922,2.841064,1.637933
0.923,2.841415,1.638976
0.924,2.841767,1.64002
0.925,2.842119,1.641065
0.926,2.842471,1.642112
0.927,2.842824,1.64316
0.928,2.843178,1.64421
0.929,2.843532,1.645262
0.93,2.843887,1.646315
0.931,2.844243,1.647369
0.932,2.844599,1.648425
0.933,2.844955,1.649483
0.934,2.845312,1.650542
0.935,2.84567,1.651602
0.936,2.846029,1.652664
0.937,2.846387,1.653728
0.938,2.846747,1.654792
0.939,2.847107,1.655859
0.94,2.847468,1.656927
0.941,2.84783,1.657996
0.942,2.848192,1.659067
0.943,2.848555,1.660139
0.944,2.848918,1.661213
0.945,2.849282,1.662288
0.946,2.849647,1.663364
0.947,2.850012,1.664442
0.948,2.850378,1.665522
0.949,2.850745,1.666603
0.95,2.851112,1.667685
0.951,2.85148,1.668769
0.952,2.851849,1.669854
0.953,2.852219,1.670941
0.954,2.852589,1.672029
0.955,2.85296,1.673118
0.956,2.853331,1.674209
0.957,2.853703,1.675301
0.958,2.854076,1.676395
0.959,2.85445,1.67749
0.96,2.854824,1.678586
0.961,2.8552,1.679684
0.962,2.855575,1.680783
0.963,2.855952,1.681884
0.964,2.856329,1.682986
0.965,2.856707,1.684089
0.966,2.857086,1.685194
0.967,2.857466,1.6863
0.968,2.857846,1.687407
0.969,2.858227,1.688516
0.97,2.858609,1.689626
0.971,2.858992,1.690737
0.972,2.859375,1.69185
0.973,2.859759,1.692964
0.974,2.860144,1.69408
0.975,2.86053,1.695196
0.976,2.860917,1.696314
0.977,2.861304,1.697434
0.978,2.861692,1.698555
0.979,2.862081,1.699677
0.98,2.862471,1.7008
0.981,2.862861,1.701925
0.982,2.863253,1.703051
0.983,2.863645,1.704178
0.984,2.864038,1.705306
0.985,2.864432,1.706436
0.986,2.864826,1.707567
0.987,2.865222,1.708699
0.988,2.865618,1.709833
0.989,2.866015,1.710968
0.99,2.866414,1.712104
0.991,2.866812,1.713241
0.992,2.867212,1.71438
0.993,2.867613,1.71552
0.994,2.868014,1.716661
0.995,2.868417,1.717803
0.996,2.86882,1.718947
0.997,2.869224,1.720092
0.998,2.869629,1.721238
0.999,2.870035,1.722385
1,2.870441,1.723534
