wl,n,k
0.775,3.33559,0
0.776,3.33323,0
0.777,3.33089,0
0.778,3.32857,0
0.779,3.32627,0
0.78,3.324,0
0.781,3.32175,0
0.782,3.31953,0
0.783,3.31732,0
0.784,3.31513,0
0.785,3.31297,0
0.786,3.31082,0
0.787,3.3087,0
0.788,3.3066,0
0.789,3.30451,0
0.79,3.30245,0
0.791,3.3004,0
0.792,3.29837,0
0.793,3.29636,0
0.794,3.29437,0
0.795,3.29239,0
0.796,3.29044,0
0.797,3.2885,0
0.798,3.28657,0
0.799,3.28467,0
0.8,3.28278,0
0.801,3.2809,0
0.802,3.27905,0
0.803,3.2772,0
0.804,3.27538,0
0.805,3.27357,0
0.806,3.27177,0
0.807,3.26999,0
0.808,3.26822,0
0.809,3.26647,0
0.81,3.26473,0
0.811,3.26301,0
0.812,3.2613,0
0.813,3.2596,0
0.814,3.25792,0
0.815,3.25625,0
0.816,3.2546,0
0.817,3.25295,0
0.818,3.25132,0
0.819,3.2497,0
0.82,3.2481,0
0.821,3.2465,0
0.822,3.24492,0
0.823,3.24335,0
0.824,3.2418,0
0.825,3.24025,0
0.826,3.23872,0
0.827,3.23719,0
0.828,3.23568,0
0.829,3.23418,0
0.83,3.23269,0
0.831,3.23122,0
0.832,3.22975,0
0.833,3.22829,0
0.834,3.22684,0
0.835,3.22541,0
0.836,3.22398,0
0.837,3.22257,0
0.838,3.22116,0
0.839,3.21976,0
0.84,3.21838,0
0.841,3.217,0
0.842,3.21563,0
0.843,3.21428,0
0.844,3.21293,0
0.845,3.21159,0
0.846,3.21026,0
0.847,3.20894,0
0.848,3.20763,0
0.849,3.20633,0
0.85,3.20503,0
0.851,3.20375,0
0.852,3.20247,0
0.853,3.2012,0
0.854,3.19994,0
0.855,3.19869,0
0.856,3.19744,0
0.857,3.19621,0
0.858,3.19498,0
0.859,3.19376,0
0.86,3.19255,0
0.861,3.19135,0
0.862,3.19015,0
0.863,3.18896,0
0.864,3.18778,0
0.865,3.18661,0
0.866,3.18544,0
0.867,3.18428,0
0.868,3.18313,0
0.869,3.18198,0
0.87,3.18085,0
0.871,3.17971,0
0.872,3.17859,0
0.873,3.17747,0
0.874,3.17637,0
0.875,3.17526,0
0.876,3.17417,0
0.877,3.17308,0
0.878,3.17199,0
0.879,3.17092,0
0.88,3.16985,0
0.881,3.16878,0
0.882,3.16773,0
0.883,3.16667,0
0.884,3.16563,0
0.885,3.16459,0
0.886,3.16356,0
0.887,3.16253,0
0.888,3.16151,0
0.889,3.1605,0
0.89,3.15949,0
0.891,3.15848,0
0.892,3.15749,0
0.893,3.1565,0
0.894,3.15551,0
0.895,3.15453,0
0.896,3.15355,0
0.897,3.15258,0
0.898,3.15162,0
0.899,3.15066,0
0.9,3.14971,0
0.901,3.14876,0
0.902,3.14782,0
0.903,3.14688,0
0.904,3.14595,0
0.905,3.14502,0
0.906,3.1441,0
0.907,3.14318,0
0.908,3.14227,0
0.909,3.14137,0
0.91,3.14046,0
0.911,3.13957,0
0.912,3.13868,0
0.913,3.13779,0
0.914,3.13691,0
0.915,3.13603,0
0.916,3.13516,0
0.917,3.13429,0
0.918,3.13342,0
0.919,3.13256,0
0.92,3.13171,0
0.921,3.13086,0
0.922,3.13001,0
0.923,3.12917,0
0.924,3.12833,0
0.925,3.1275,0
0.926,3.12667,0
0.927,3.12585,0
0.928,3.12503,0
0.929,3.12421,0
0.93,3.1234,0
0.931,3.1226,0
0.932,3.12179,0
0.933,3.12099,0
0.934,3.1202,0
0.935,3.11941,0
0.936,3.11862,0
0.937,3.11784,0
0.938,3.11706,0
0.939,3.11628,0
0.94,3.11551,0
0.941,3.11475,0
0.942,3.11398,0
0.943,3.11322,0
0.944,3.11247,0
0.945,3.11171,0
0.946,3.11097,0
0.947,3.11022,0
0.948,3.10948,0
0.949,3.10874,0
0.95,3.10801,0
0.951,3.10728,0
0.952,3.10655,0
0.953,3.10583,0
0.954,3.10511,0
0.955,3.10439,0
0.956,3.10368,0
0.957,3.10297,0
0.958,3.10226,0
0.959,3.10156,0
0.96,3.10086,0
0.961,3.10016,0
0.962,3.09947,0
0.963,3.09878,0
0.964,3.09809,0
0.965,3.09741,0
0.966,3.09673,0
0.967,3.09605,0
0.968,3.09538,0
0.969,3.09471,0
0.97,3.09404,0
0.971,3.09338,0
0.972,3.09272,0
0.973,3.09206,0
0.974,3.0914,0
0.975,3.09075,0
0.976,3.0901,0
0.977,3.08946,0
0.978,3.08881,0
0.979,3.08817,0
0.98,3.08754,0
0.981,3.0869,0
0.982,3.08627,0
0.983,3.08564,0
0.984,3.08501,0
0.985,3.08439,0
0.986,3.08377,0
0.987,3.08315,0
0.988,3.08254,0
0.989,3.08193,0
0.99,3.08132,0
0.991,3.08071,0
0.992,3.08011,0
0.993,3.07951,0
0.994,3.07891,0
0.995,3.07831,0
0.996,3.07772,0
0.997,3.07713,0
0.998,3.07654,0
0.999,3.07595,0
1,3.07537,0
1.003,3.07392,0
1.005,3.07249,0
1.008,3.07107,0
1.01,3.06967,0
1.013,3.06829,0
1.015,3.06691,0
1.018,3.06556,0
1.02,3.06421,0
1.023,3.06289,0
1.025,3.06157,0
1.028,3.06027,0
1.03,3.05898,0
1.033,3.0577,0
1.035,3.05644,0
1.038,3.05519,0
1.04,3.05395,0
1.043,3.05273,0
1.045,3.05151,0
1.048,3.05031,0
1.05,3.04912,0
1.053,3.04795,0
1.055,3.04678,0
1.058,3.04563,0
