"Wavelength, µm",n,k
0.876,4.019093,0
0.877,4.017974,0
0.878,4.016862,0
0.879,4.015755,0
0.88,4.014655,0
0.881,4.01356,0
0.882,4.012472,0
0.883,4.011389,0
0.884,4.010312,0
0.885,4.009241,0
0.886,4.008176,0
0.887,4.007116,0
0.888,4.006062,0
0.889,4.005013,0
0.89,4.00397,0
0.891,4.002932,0
0.892,4.0019,0
0.893,4.000874,0
0.894,3.999852,0
0.895,3.998836,0
0.896,3.997825,0
0.897,3.99682,0
0.898,3.99582,0
0.899,3.994824,0
0.9,3.993834,0
0.901,3.992849,0
0.902,3.991869,0
0.903,3.990894,0
0.904,3.989924,0
0.905,3.988959,0
0.906,3.987998,0
0.907,3.987043,0
0.908,3.986092,0
0.909,3.985146,0
0.91,3.984205,0
0.911,3.983268,0
0.912,3.982336,0
0.913,3.981409,0
0.914,3.980486,0
0.915,3.979568,0
0.916,3.978655,0
0.917,3.977745,0
0.918,3.976841,0
0.919,3.97594,0
0.92,3.975044,0
0.921,3.974153,0
0.922,3.973265,0
0.923,3.972382,0
0.924,3.971503,0
0.925,3.970629,0
0.926,3.969759,0
0.927,3.968892,0
0.928,3.96803,0
0.929,3.967172,0
0.93,3.966318,0
0.931,3.965468,0
0.932,3.964623,0
0.933,3.963781,0
0.934,3.962943,0
0.935,3.962109,0
0.936,3.961279,0
0.937,3.960452,0
0.938,3.95963,0
0.939,3.958811,0
0.94,3.957997,0
0.941,3.957186,0
0.942,3.956378,0
0.943,3.955575,0
0.944,3.954775,0
0.945,3.953979,0
0.946,3.953186,0
0.947,3.952397,0
0.948,3.951612,0
0.949,3.95083,0
0.95,3.950051,0
0.951,3.949277,0
0.952,3.948505,0
0.953,3.947737,0
0.954,3.946973,0
0.955,3.946212,0
0.956,3.945455,0
0.957,3.9447,0
0.958,3.94395,0
0.959,3.943202,0
0.96,3.942458,0
0.961,3.941717,0
0.962,3.940979,0
0.963,3.940245,0
0.964,3.939514,0
0.965,3.938786,0
0.966,3.938061,0
0.967,3.937339,0
0.968,3.936621,0
0.969,3.935905,0
0.97,3.935193,0
0.971,3.934484,0
0.972,3.933778,0
0.973,3.933074,0
0.974,3.932374,0
0.975,3.931677,0
0.976,3.930983,0
0.977,3.930292,0
0.978,3.929604,0
0.979,3.928919,0
0.98,3.928236,0
0.981,3.927557,0
0.982,3.92688,0
0.983,3.926206,0
0.984,3.925535,0
0.985,3.924867,0
0.986,3.924202,0
0.987,3.923539,0
0.988,3.92288,0
0.989,3.922223,0
0.99,3.921568,0
0.991,3.920917,0
0.992,3.920268,0
0.993,3.919622,0
0.994,3.918978,0
0.995,3.918338,0
0.996,3.917699,0
0.997,3.917064,0
0.998,3.916431,0
0.999,3.9158,0
1,3.915172,0
1.0025,3.913614,0
1.005,3.912071,0
1.0075,3.910544,0
1.01,3.909032,0
1.0125,3.907535,0
1.015,3.906053,0
1.0175,3.904586,0
1.02,3.903133,0
1.0225,3.901694,0
1.025,3.900269,0
1.0275,3.898858,0
1.03,3.897461,0
1.0325,3.896077,0
1.035,3.894706,0
1.0375,3.893349,0
1.04,3.892004,0
1.0425,3.890672,0
1.045,3.889352,0
1.0475,3.888045,0
1.05,3.88675,0
1.0525,3.885467,0
1.055,3.884196,0
1.0575,3.882937,0
1.06,3.881689,0
1.0625,3.880452,0
1.065,3.879227,0
1.0675,3.878013,0
1.07,3.87681,0
1.0725,3.875617,0
1.075,3.874436,0
1.0775,3.873265,0
1.08,3.872104,0
1.0825,3.870954,0
1.085,3.869813,0
1.0875,3.868683,0
1.09,3.867562,0
1.0925,3.866452,0
1.095,3.865351,0
1.0975,3.864259,0
1.1,3.863177,0
1.1025,3.862105,0
1.105,3.861041,0
1.1075,3.859986,0
1.11,3.858941,0
1.1125,3.857904,0
1.115,3.856876,0
1.1175,3.855857,0
1.12,3.854846,0
1.1225,3.853844,0
1.125,3.85285,0
1.1275,3.851864,0
1.13,3.850886,0
1.1325,3.849916,0
1.135,3.848955,0
1.1375,3.848001,0
1.14,3.847055,0
1.1425,3.846116,0
1.145,3.845186,0
1.1475,3.844262,0
1.15,3.843346,0
1.1525,3.842438,0
1.155,3.841537,0
1.1575,3.840643,0
1.16,3.839755,0
1.1625,3.838875,0
1.165,3.838002,0
1.1675,3.837136,0
1.17,3.836276,0
1.1725,3.835424,0
1.175,3.834578,0
1.1775,3.833738,0
1.18,3.832905,0
1.1825,3.832078,0
1.185,3.831258,0
1.1875,3.830444,0
1.19,3.829636,0
1.1925,3.828834,0
1.195,3.828038,0
1.1975,3.827249,0
1.2,3.826465,0
1.2025,3.825687,0
1.205,3.824915,0
1.2075,3.824149,0
1.21,3.823388,0
1.2125,3.822633,0
1.215,3.821884,0
1.2175,3.82114,0
1.22,3.820402,0
1.2225,3.819669,0
1.225,3.818941,0
1.2275,3.818219,0
1.23,3.817502,0
1.2325,3.81679,0
1.235,3.816084,0
1.2375,3.815382,0
1.24,3.814685,0
1.2425,3.813994,0
1.245,3.813307,0
1.2475,3.812626,0
1.25,3.811949,0
1.2525,3.811277,0
1.255,3.810609,0
1.2575,3.809946,0
1.26,3.809289,0
1.2625,3.808635,0
1.265,3.807986,0
1.2675,3.807342,0
1.27,3.806702,0
1.2725,3.806067,0
1.275,3.805436,0
1.2775,3.804809,0
1.28,3.804187,0
1.2825,3.803568,0
1.285,3.802955,0
1.2875,3.802345,0
1.29,3.801739,0
1.2925,3.801138,0
1.295,3.80054,0
1.2975,3.799947,0
1.3,3.799358,0
1.3025,3.798772,0
1.305,3.798191,0
1.3075,3.797613,0
1.31,3.797039,0
1.3125,3.796469,0
1.315,3.795903,0
1.3175,3.79534,0
1.32,3.794782,0
1.3225,3.794227,0
1.325,3.793675,0
1.3275,3.793127,0
1.33,3.792583,0
1.3325,3.792042,0
1.335,3.791505,0
1.3375,3.790971,0
1.34,3.790441,0
1.3425,3.789914,0
1.345,3.78939,0
1.3475,3.78887,0
1.35,3.788353,0
1.3525,3.787839,0
1.355,3.787329,0
1.3575,3.786822,0
1.36,3.786318,0
1.3625,3.785817,0
1.365,3.78532,0
1.3675,3.784825,0
1.37,3.784334,0
1.3725,3.783846,0
1.375,3.783361,0
1.3775,3.782878,0
1.38,3.782399,0
1.3825,3.781923,0
1.385,3.78145,0
1.3875,3.780979,0
1.39,3.780512,0
1.3925,3.780047,0
1.395,3.779585,0
1.3975,3.779126,0
1.4,3.77867,0
1.4025,3.778217,0
1.405,3.777766,0
1.4075,3.777318,0
1.41,3.776873,0
1.4125,3.77643,0
1.415,3.775991,0
1.4175,3.775553,0
1.42,3.775119,0
1.4225,3.774687,0
1.425,3.774257,0
1.4275,3.77383,0
1.43,3.773406,0
1.4325,3.772984,0
1.435,3.772565,0
1.4375,3.772148,0
1.44,3.771733,0
1.4425,3.771321,0
1.445,3.770911,0
1.4475,3.770504,0
1.45,3.770099,0
1.4525,3.769697,0
1.455,3.769296,0
1.4575,3.768899,0
1.46,3.768503,0
1.4625,3.76811,0
1.465,3.767719,0
1.4675,3.76733,0
1.47,3.766943,0
1.4725,3.766559,0
1.475,3.766177,0
1.4775,3.765796,0
1.48,3.765419,0
1.4825,3.765043,0
1.485,3.764669,0
1.4875,3.764298,0
1.49,3.763928,0
1.4925,3.763561,0
1.495,3.763196,0
1.4975,3.762832,0
1.5,3.762471,0
1.5025,3.762112,0
1.505,3.761755,0
1.5075,3.761399,0
1.51,3.761046,0
1.5125,3.760695,0
1.515,3.760345,0
1.5175,3.759998,0
1.52,3.759652,0
1.5225,3.759309,0
1.525,3.758967,0
1.5275,3.758627,0
1.53,3.758289,0
1.5325,3.757953,0
1.535,3.757618,0
1.5375,3.757286,0
1.54,3.756955,0
1.5425,3.756626,0
1.545,3.756298,0
1.5475,3.755973,0
1.55,3.755649,0
1.5525,3.755327,0
1.555,3.755007,0
1.5575,3.754688,0
1.56,3.754371,0
1.5625,3.754056,0
1.565,3.753742,0
1.5675,3.75343,0
1.57,3.75312,0
1.5725,3.752811,0
1.575,3.752504,0
1.5775,3.752199,0
1.58,3.751895,0
1.5825,3.751593,0
1.585,3.751292,0
1.5875,3.750993,0
1.59,3.750695,0
1.5925,3.750399,0
1.595,3.750105,0
1.5975,3.749812,0
1.6,3.749521,0
1.6025,3.74923,0
1.605,3.748942,0
1.6075,3.748655,0
1.61,3.74837,0
1.6125,3.748085,0
1.615,3.747803,0
1.6175,3.747522,0
1.62,3.747242,0
1.6225,3.746963,0
1.625,3.746687,0
1.6275,3.746411,0
1.63,3.746137,0
1.6325,3.745864,0
1.635,3.745593,0
1.6375,3.745323,0
1.64,3.745054,0
1.6425,3.744787,0
1.645,3.74452,0
1.6475,3.744256,0
1.65,3.743992,0
1.6525,3.74373,0
1.655,3.743469,0
1.6575,3.74321,0
1.66,3.742952,0
1.6625,3.742695,0
1.665,3.742439,0
1.6675,3.742185,0
1.67,3.741931,0
1.6725,3.741679,0
1.675,3.741429,0
1.6775,3.741179,0
1.68,3.740931,0
1.6825,3.740684,0
1.685,3.740438,0
1.6875,3.740193,0
1.69,3.73995,0
